"id","action","symbol","type","buy_point","stop_loss","take_profit","risk","quantity","date","time","gap","bp_filled_price","bp_filled_at","cost","leverage_cost","high","low","highest","lowest","pl","pl_filled_price","pl_amount","price_change","stop_at","created_at"
1,"SELL","TME","OKAR/S",12.66,12.81,12.51,50.0,333,"2019-01-02","09:34:00",4.65116,NULL,"2019-01-02T09:35:00.000Z",4215.78,1053.945,12.81,NULL,NULL,12.56,"L",12.66,0.0,"{""3-bars"": 0.006, ""5-bars"": 0, ""7-bars"": 0}","2019-01-02T09:47:00.000Z","2022-09-23 19:42:05.840047"
2,"SELL","TME","SHOOTING-STAR",12.81,12.93,12.69,50.0,417,"2019-01-02","09:55:00",30.23256,NULL,"2019-01-02T09:56:00.000Z",5341.77,1335.443,12.84,NULL,NULL,12.56,"P",12.81,0.0,"{""3-bars"": -0.002, ""5-bars"": -0.008, ""7-bars"": -0.003}","2019-01-02T10:09:00.000Z","2022-09-23 19:42:05.867766"
3,"SELL","TSLA","OKAR/S",60.79,61.15,60.43,50.0,139,"2019-01-02","09:56:00",17.8172,NULL,"2019-01-02T09:57:00.000Z",8449.81,2112.453,61.2,NULL,NULL,60.51,"L",60.79,0.0,"{""3-bars"": -0.008, ""5-bars"": -0.005, ""7-bars"": -0.003}","2019-01-02T10:07:00.000Z","2022-09-23 19:42:05.870825"
4,"SELL","TSLA","SHOOTING-STAR",60.74,60.91,60.57,50.0,294,"2019-01-02","10:00:00",17.8172,NULL,"2019-01-02T10:01:00.000Z",17857.56,4464.39,60.78,NULL,NULL,60.51,"P",60.74,0.0,"{""3-bars"": -0.001, ""5-bars"": 0.004, ""7-bars"": -0.007}","2019-01-02T10:01:00.000Z","2022-09-23 19:42:05.875442"
5,"BUY","GILD","HUMMER",57.48,57.31,57.65,50.0,294,"2019-01-03","09:47:00",25.43992,NULL,"2019-01-03T09:48:00.000Z",16899.12,4224.78,NULL,57.43,58.2,NULL,"P",57.48,0.0,"{""3-bars"": -0.0, ""5-bars"": 0.006, ""7-bars"": 0.009}","2019-01-03T09:49:00.000Z","2022-09-23 19:46:14.254785"
6,"BUY","INTC","HUMMER",41.33,41.17,41.49,50.0,313,"2019-01-04","09:31:00",22.06145,NULL,"2019-01-04T09:32:00.000Z",12936.29,3234.072,NULL,41.19,42.36,NULL,"P",41.33,0.0,"{""3-bars"": 0, ""5-bars"": 0, ""7-bars"": 0}","2019-01-04T09:37:00.000Z","2022-09-23 19:50:21.600982"
7,"BUY","NFLX","HUMMER",282.12,280.79,283.45,50.0,38,"2019-01-04","09:51:00",31.27341,NULL,"2019-01-04T09:52:00.000Z",10720.56,2680.14,NULL,281.4,290.71,NULL,"P",282.12,0.0,"{""3-bars"": -0.002, ""5-bars"": -0.003, ""7-bars"": -0.006}","2019-01-04T09:59:00.000Z","2022-09-23 19:50:21.625015"
8,"SELL","AMRN","SHOOTING-STAR",13.46,13.78,13.14,50.0,156,"2019-01-07","09:40:00",191.22807,NULL,NULL,2099.76,524.94,NULL,NULL,NULL,NULL,"C",NULL,NULL,"{""3-bars"": -0.014, ""5-bars"": -0.039, ""7-bars"": -0.027}","2019-01-07T09:44:00.000Z","2022-09-23 19:54:28.785916"
9,"SELL","PCG","SHOOTING-STAR",16.49,17.44,15.54,50.0,53,"2019-01-08","09:30:00",20.72072,NULL,"2019-01-08T09:31:00.000Z",873.97,218.492,17.48,NULL,NULL,15.78,"L",16.49,0.0,"{""3-bars"": 0, ""5-bars"": 0, ""7-bars"": 0}","2019-01-08T09:50:00.000Z","2022-09-23 19:58:35.94701"
10,"BUY","UNP","HUMMER",141.56,137.81,145.31,50.0,13,"2019-01-08","09:30:00",16.27647,NULL,NULL,1840.28,460.07,NULL,NULL,NULL,NULL,"C",NULL,NULL,"{""3-bars"": 0, ""5-bars"": 0, ""7-bars"": 0}","2019-01-08T09:34:00.000Z","2022-09-23 19:58:35.951566"
11,"BUY","ROKU","OKAR/B",44.23,43.28,45.18,50.0,53,"2019-01-08","09:32:00",42.4581,NULL,"2019-01-08T09:33:00.000Z",2344.19,586.048,NULL,42.85,44.48,NULL,"L",44.23,0.0,"{""3-bars"": 0, ""5-bars"": 0, ""7-bars"": 0}","2019-01-08T09:35:00.000Z","2022-09-23 19:58:35.955456"
12,"BUY","UNP","OKAR/B",141.14,140.65,141.63,50.0,102,"2019-01-08","09:42:00",16.27647,NULL,"2019-01-08T09:43:00.000Z",14396.28,3599.07,NULL,140.81,142.13,NULL,"P",141.14,0.0,"{""3-bars"": 0.0, ""5-bars"": -0.001, ""7-bars"": -0.001}","2019-01-08T09:51:00.000Z","2022-09-23 19:58:35.971611"
13,"BUY","UNP","HUMMER",141.78,141.34,142.22,50.0,114,"2019-01-08","09:54:00",16.27647,NULL,"2019-01-08T09:55:00.000Z",16162.92,4040.73,NULL,141.24,142.13,NULL,"L",141.78,0.0,"{""3-bars"": 0.001, ""5-bars"": 0.003, ""7-bars"": 0.005}","2019-01-08T09:56:00.000Z","2022-09-23 19:58:35.987213"
14,"SELL","KSS","SHOOTING-STAR",56.05,56.62,55.48,50.0,88,"2019-01-10","09:31:00",14.07445,NULL,"2019-01-10T09:32:00.000Z",4932.4,1233.1,56.25,NULL,NULL,55.16,"P",56.05,0.0,"{""3-bars"": 0, ""5-bars"": 0, ""7-bars"": 0}","2019-01-10T09:32:00.000Z","2022-09-23 20:06:49.474411"
15,"SELL","UAL","OKAR/S",77.86,78.15,77.57,50.0,172,"2019-01-10","09:53:00",16.50165,NULL,"2019-01-10T09:54:00.000Z",13391.92,3347.98,78.21,NULL,NULL,77.75,"L",77.86,0.0,"{""3-bars"": -0.003, ""5-bars"": -0.001, ""7-bars"": -0.004}","2019-01-10T09:57:00.000Z","2022-09-23 20:06:49.509031"
16,"BUY","BBBY","OKAR/B",11.99,11.9,12.08,50.0,556,"2019-01-10","09:56:00",53.6823,NULL,"2019-01-10T09:57:00.000Z",6666.44,1666.61,NULL,11.85,12.76,NULL,"L",11.99,0.0,"{""3-bars"": -0.001, ""5-bars"": -0.002, ""7-bars"": -0.014}","2019-01-10T09:59:00.000Z","2022-09-23 20:06:49.51403"
17,"BUY","BBBY","HUMMER",11.93,11.84,12.02,50.0,556,"2019-01-10","10:00:00",53.6823,NULL,"2019-01-10T10:01:00.000Z",6633.08,1658.27,NULL,11.82,12.76,NULL,"L",11.93,0.0,"{""3-bars"": -0.006, ""5-bars"": -0.001, ""7-bars"": -0.005}","2019-01-10T10:01:00.000Z","2022-09-23 20:06:49.522062"
