id,action,symbol,type,buy_point,stop_loss,take_profit,risk,quantity,date,time,gap,bp_filled_price,bp_filled_at,cost,leverage_cost,high,low,highest,lowest,pl,pl_filled_price,pl_amount,price_change,stop_at,created_at
1,SELL,NFLX,OKAR/S,106.88,107.69,106.07,50,62,04/01/2016,09:51:00,10.16636,NULL,2016-01-04T09:52:00.000Z,6626.56,1656.64,107.2,NULL,NULL,105.21,P,106.88,0,"{""3-bars"": 0.004, ""5-bars"": -0.003, ""7-bars"": 0.004}",2016-01-04T10:12:00.000Z,20:05.4
2,SELL,BABA,OKAR/S,76.68,76.89,76.47,50,238,04/01/2016,10:12:00,100,NULL,2016-01-04T10:13:00.000Z,18249.84,4562.46,76.84,NULL,NULL,75.18,P,76.68,0,"{""3-bars"": -0.001, ""5-bars"": -0.002, ""7-bars"": -0.005}",2016-01-04T10:23:00.000Z,20:05.4
3,SELL,BABA,OKAR/S,75.27,75.54,75,50,185,04/01/2016,11:25:00,100,NULL,2016-01-04T11:26:00.000Z,13924.95,3481.237,75.6,NULL,NULL,75.23,L,75.27,0,"{""3-bars"": 0.002, ""5-bars"": 0.001, ""7-bars"": 0.001}",2016-01-04T11:34:00.000Z,20:05.4
4,SELL,NFLX,OKAR/S,107,107.27,106.73,50,185,04/01/2016,11:45:00,10.16636,NULL,2016-01-04T11:46:00.000Z,19795,4948.75,107.23,NULL,NULL,106.28,P,107,0,"{""3-bars"": 0.001, ""5-bars"": 0.0, ""7-bars"": -0.002}",2016-01-04T12:00:00.000Z,20:05.4
5,SELL,BABA,SHOOTING-STAR,76.16,76.22,76.1,50,833,04/01/2016,12:59:00,100,NULL,NULL,63441.28,15860.32,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": -0.001}",2016-01-04T13:03:00.000Z,20:05.4
6,SELL,NFLX,OKAR/S,107.79,108.12,107.46,50,152,04/01/2016,13:17:00,10.16636,NULL,2016-01-04T13:18:00.000Z,16384.08,4096.02,108.13,NULL,NULL,107.52,L,107.79,0,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": 0.003}",2016-01-04T13:29:00.000Z,20:05.4
7,SELL,BABA,SHOOTING-STAR,76.53,76.59,76.47,50,833,04/01/2016,13:27:00,100,NULL,NULL,63749.49,15937.373,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": 0.001}",2016-01-04T13:31:00.000Z,20:05.4
8,SELL,BABA,OKAR/S,76.93,77.07,76.79,50,357,04/01/2016,13:47:00,100,NULL,2016-01-04T13:48:00.000Z,27464.01,6866.003,77.04,NULL,NULL,76.03,P,76.93,0,"{""3-bars"": -0.001, ""5-bars"": 0.001, ""7-bars"": 0.001}",2016-01-04T13:55:00.000Z,20:05.4
9,BUY,SWBI,OKAR/B,19.39,19.27,19.51,50,417,05/01/2016,10:31:00,25.32558,NULL,2016-01-05T10:32:00.000Z,8085.63,2021.408,NULL,19.26,19.63,NULL,L,19.39,0,"{""3-bars"": -0.0, ""5-bars"": 0.004, ""7-bars"": 0.01}",2016-01-05T10:34:00.000Z,20:05.9
10,BUY,SWBI,OKAR/B,19.36,19.25,19.47,50,455,05/01/2016,10:35:00,25.32558,NULL,2016-01-05T10:36:00.000Z,8808.8,2202.2,NULL,19.23,19.63,NULL,L,19.36,0,"{""3-bars"": -0.002, ""5-bars"": 0.001, ""7-bars"": -0.002}",2016-01-05T10:46:00.000Z,20:05.9
