id,action,symbol,type,buy_point,stop_loss,take_profit,risk,quantity,date,time,gap,bp_filled_price,bp_filled_at,cost,leverage_cost,high,low,highest,lowest,pl,pl_filled_price,pl_amount,price_change,stop_at,created_at
20192,SELL,NFLX,OKAR/S,106.88,107.71,106.05,50,60,04/01/2016,09:51:00,10.16636,NULL,2016-01-04T09:52:00.000Z,6412.8,1603.2,107.2,NULL,NULL,105.21,P,106.88,0,"{""3-bars"": 0.004, ""5-bars"": -0.003, ""7-bars"": 0.004}",2016-01-04T10:12:00.000Z,26:12.6
20193,SELL,BABA,OKAR/S,76.68,76.91,76.45,50,217,04/01/2016,10:12:00,100,NULL,2016-01-04T10:13:00.000Z,16639.56,4159.89,76.84,NULL,NULL,75.18,P,76.68,0,"{""3-bars"": -0.001, ""5-bars"": -0.002, ""7-bars"": -0.005}",2016-01-04T10:23:00.000Z,26:12.6
20194,SELL,BABA,OKAR/S,75.27,75.56,74.98,50,172,04/01/2016,11:25:00,100,NULL,2016-01-04T11:26:00.000Z,12946.44,3236.61,75.6,NULL,NULL,75.23,L,75.27,0,"{""3-bars"": 0.002, ""5-bars"": 0.001, ""7-bars"": 0.001}",2016-01-04T11:34:00.000Z,26:12.6
20195,SELL,NFLX,OKAR/S,107,107.29,106.71,50,172,04/01/2016,11:45:00,10.16636,NULL,2016-01-04T11:46:00.000Z,18404,4601,107.23,NULL,NULL,106.28,P,107,0,"{""3-bars"": 0.001, ""5-bars"": 0.0, ""7-bars"": -0.002}",2016-01-04T12:00:00.000Z,26:12.6
20196,SELL,BABA,SHOOTING-STAR,76.16,76.24,76.08,50,625,04/01/2016,12:59:00,100,NULL,NULL,47600,11900,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": -0.001}",2016-01-04T13:03:00.000Z,26:12.6
20197,SELL,NFLX,OKAR/S,107.79,108.14,107.44,50,143,04/01/2016,13:17:00,10.16636,NULL,2016-01-04T13:18:00.000Z,15413.97,3853.493,108.14,NULL,NULL,107.52,L,107.79,0,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": 0.003}",2016-01-04T13:31:00.000Z,26:12.6
20198,SELL,BABA,SHOOTING-STAR,76.53,76.61,76.45,50,625,04/01/2016,13:27:00,100,NULL,NULL,47831.25,11957.813,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": 0.001}",2016-01-04T13:31:00.000Z,26:12.6
20199,SELL,BABA,OKAR/S,76.93,77.09,76.77,50,313,04/01/2016,13:47:00,100,NULL,2016-01-04T13:48:00.000Z,24079.09,6019.773,77.04,NULL,NULL,76.03,P,76.93,0,"{""3-bars"": -0.001, ""5-bars"": 0.001, ""7-bars"": 0.001}",2016-01-04T13:56:00.000Z,26:12.6
20200,BUY,SWBI,OKAR/B,19.39,19.25,19.53,50,357,05/01/2016,10:31:00,25.32558,NULL,2016-01-05T10:32:00.000Z,6922.23,1730.558,NULL,19.23,19.63,NULL,L,19.39,0,"{""3-bars"": -0.0, ""5-bars"": 0.004, ""7-bars"": 0.01}",2016-01-05T10:46:00.000Z,26:13.1
20201,BUY,SWBI,OKAR/B,19.36,19.23,19.49,50,385,05/01/2016,10:35:00,25.32558,NULL,2016-01-05T10:36:00.000Z,7453.6,1863.4,NULL,19.23,19.63,NULL,L,19.36,0,"{""3-bars"": -0.002, ""5-bars"": 0.001, ""7-bars"": -0.002}",2016-01-05T10:46:00.000Z,26:13.1
