id,action,symbol,type,buy_point,stop_loss,take_profit,risk,quantity,date,time,gap,bp_filled_price,bp_filled_at,cost,leverage_cost,high,low,highest,lowest,pl,pl_filled_price,pl_amount,price_change,stop_at,created_at
36687,SELL,TME,OKAR/S,12.66,12.82,12.51,50,312,02/01/2019,09:34:00,4.65116,NULL,2019-01-02T09:35:00.000Z,3949.92,987.48,12.85,NULL,NULL,0,L,12.66,0,"{""3-bars"": 0.006, ""5-bars"": 0, ""7-bars"": 0}",2019-01-02T09:53:00.000Z,11:10.4
36688,SELL,TME,SHOOTING-STAR,12.81,12.94,12.69,50,385,02/01/2019,09:55:00,30.23256,NULL,2019-01-02T09:56:00.000Z,4931.85,1232.963,12.84,NULL,NULL,0,P,12.81,0,"{""3-bars"": -0.002, ""5-bars"": -0.008, ""7-bars"": -0.003}",2019-01-02T10:09:00.000Z,11:10.4
36689,SELL,TSLA,OKAR/S,60.79,61.16,60.43,50,135,02/01/2019,09:56:00,17.88054,NULL,2019-01-02T09:57:00.000Z,8206.65,2051.663,61.2,NULL,NULL,60.51,L,60.79,0,"{""3-bars"": -0.008, ""5-bars"": -0.005, ""7-bars"": -0.003}",2019-01-02T10:07:00.000Z,11:10.4
36690,SELL,TSLA,SHOOTING-STAR,60.74,60.92,60.57,50,278,02/01/2019,10:00:00,17.88054,NULL,2019-01-02T10:01:00.000Z,16885.72,4221.43,60.78,NULL,NULL,60.51,P,60.74,0,"{""3-bars"": -0.001, ""5-bars"": 0.004, ""7-bars"": -0.007}",2019-01-02T10:01:00.000Z,11:10.4
36691,SELL,RIO,SHOOTING-STAR,31.14,31.2,31.09,50,833,02/01/2019,10:08:00,24.35115,NULL,2019-01-02T10:09:00.000Z,25939.62,6484.905,31.21,NULL,NULL,31.07,L,31.14,0,"{""3-bars"": -0.0, ""5-bars"": -0.002, ""7-bars"": -0.003}",2019-01-02T10:11:00.000Z,11:10.4
36692,SELL,TME,SHOOTING-STAR,12.73,12.79,12.68,50,833,02/01/2019,10:48:00,30.23256,NULL,2019-01-02T10:50:00.000Z,10604.09,2651.023,12.8,NULL,NULL,0,L,12.73,0,"{""3-bars"": -0.003, ""5-bars"": 0.0, ""7-bars"": -0.002}",2019-01-02T10:56:00.000Z,11:10.4
36693,SELL,TSLA,SHOOTING-STAR,61.48,61.63,61.34,50,333,02/01/2019,10:56:00,17.88054,NULL,2019-01-02T10:57:00.000Z,20472.84,5118.21,61.51,NULL,NULL,61.1,P,61.48,0,"{""3-bars"": -0.003, ""5-bars"": -0.005, ""7-bars"": -0.005}",2019-01-02T10:58:00.000Z,11:10.5
36694,SELL,WY,OKAR/S,18.42,18.48,18.37,50,833,02/01/2019,11:16:00,42.30645,NULL,2019-01-02T11:17:00.000Z,15343.86,3835.965,18.49,NULL,NULL,18.31,L,18.42,0,"{""3-bars"": 0.0, ""5-bars"": -0.001, ""7-bars"": -0.001}",2019-01-02T11:20:00.000Z,11:10.5
36695,SELL,TSLA,SHOOTING-STAR,61.31,61.5,61.13,50,263,02/01/2019,11:26:00,17.88054,NULL,2019-01-02T11:27:00.000Z,16124.53,4031.133,61.59,NULL,NULL,61.24,L,61.31,0,"{""3-bars"": -0.002, ""5-bars"": 0.001, ""7-bars"": 0.003}",2019-01-02T11:30:00.000Z,11:10.5
36696,SELL,RIO,OKAR/S,31.36,31.42,31.31,50,833,02/01/2019,11:54:00,45.14504,NULL,NULL,26122.88,6530.72,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.0, ""5-bars"": 0.001, ""7-bars"": 0.001}",2019-01-02T11:58:00.000Z,11:10.5
36697,SELL,TSLA,SHOOTING-STAR,61.89,62,61.79,50,455,02/01/2019,12:34:00,26.24277,NULL,NULL,28159.95,7039.988,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.003, ""5-bars"": -0.003, ""7-bars"": -0.004}",2019-01-02T12:38:00.000Z,11:10.5
36698,SELL,TME,SHOOTING-STAR,12.92,12.97,12.88,50,1000,02/01/2019,12:37:00,46.51163,NULL,NULL,12920,3230,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.003, ""5-bars"": -0.003, ""7-bars"": -0.005}",2019-01-02T12:41:00.000Z,11:10.5
36699,SELL,TSLA,OKAR/S,61.99,62.18,61.81,50,263,02/01/2019,12:58:00,26.24277,NULL,2019-01-02T12:59:00.000Z,16303.37,4075.843,62.19,NULL,NULL,61.66,L,61.99,0,"{""3-bars"": -0.001, ""5-bars"": -0.0, ""7-bars"": -0.001}",2019-01-02T13:05:00.000Z,11:10.5
36700,SELL,WY,OKAR/S,18.6,18.65,18.56,50,1000,02/01/2019,13:15:00,70.12903,NULL,2019-01-02T13:16:00.000Z,18600,4650,18.61,NULL,NULL,18.45,P,18.6,0,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": -0.003}",2019-01-02T13:17:00.000Z,11:10.5
36701,SELL,RIO,OKAR/S,31.29,31.33,31.26,50,1250,02/01/2019,13:29:00,45.14504,NULL,NULL,39112.5,9778.125,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": 0.001}",2019-01-02T13:33:00.000Z,11:10.5
36702,SELL,WY,OKAR/S,18.54,18.6,18.49,50,833,02/01/2019,13:58:00,70.12903,NULL,2019-01-02T14:01:00.000Z,15443.82,3860.955,18.59,NULL,NULL,18.45,P,18.54,0,"{""3-bars"": 0.001, ""5-bars"": 0.0, ""7-bars"": -0.0}",2019-01-02T14:10:00.000Z,11:10.5
36703,BUY,GILD,HUMMER,57.48,57.3,57.65,50,278,03/01/2019,09:47:00,25.61224,NULL,2019-01-03T09:48:00.000Z,15979.44,3994.86,NULL,57.43,58.2,NULL,P,57.48,0,"{""3-bars"": -0.0, ""5-bars"": 0.006, ""7-bars"": 0.009}",2019-01-03T09:49:00.000Z,11:11.0
