"id","action","symbol","type","buy_point","stop_loss","take_profit","risk","quantity","date","time","gap","bp_filled_price","bp_filled_at","cost","leverage_cost","high","low","highest","lowest","pl","pl_filled_price","pl_amount","price_change","stop_at","created_at"
1,"BUY","BNTX","HUMMER",83.89,83.03,84.75,50.0,58,"2021-01-04","09:31:00",29.28137,NULL,"2021-01-04T09:32:00.000Z",4865.62,1216.405,NULL,82.7,86.79,NULL,"L",83.89,0.0,"{""3-bars"": 0, ""5-bars"": 0, ""7-bars"": 0}","2021-01-04T09:33:00.000Z","2022-09-23 17:47:47.72464"
2,"BUY","FSR","OKAR/B",15.01,14.9,15.12,50.0,455,"2021-01-04","09:34:00",55.35714,NULL,NULL,6829.55,1707.388,NULL,NULL,NULL,NULL,"C",NULL,NULL,"{""3-bars"": -0.011, ""5-bars"": 0, ""7-bars"": 0}","2021-01-04T09:38:00.000Z","2022-09-23 17:47:47.784481"
3,"BUY","BTBT","OKAR/B",28.71,27.71,29.71,50.0,50,"2021-01-04","09:39:00",4.96552,NULL,NULL,1435.5,358.875,NULL,NULL,NULL,NULL,"C",NULL,NULL,"{""3-bars"": 0.011, ""5-bars"": -0.02, ""7-bars"": 0.023}","2021-01-04T09:43:00.000Z","2022-09-23 17:47:47.808417"
4,"BUY","LI","OKAR/B",30.19,29.94,30.44,50.0,200,"2021-01-04","09:42:00",48.34437,NULL,"2021-01-04T09:43:00.000Z",6038.0,1509.5,NULL,30.09,33.0,NULL,"P",30.19,0.0,"{""3-bars"": 0.004, ""5-bars"": 0.009, ""7-bars"": 0.006}","2021-01-04T09:44:00.000Z","2022-09-23 17:47:47.822379"
5,"SELL","BLNK","SHOOTING-STAR",39.48,40.11,38.85,50.0,79,"2021-01-04","09:43:00",74.65714,NULL,"2021-01-04T09:44:00.000Z",3118.92,779.73,40.4,NULL,NULL,37.2,"L",39.48,0.0,"{""3-bars"": -0.011, ""5-bars"": 0.003, ""7-bars"": 0.005}","2021-01-04T09:45:00.000Z","2022-09-23 17:47:47.827366"
6,"BUY","FCX","OKAR/B",27.2,27.02,27.38,50.0,278,"2021-01-04","09:48:00",20.0,NULL,"2021-01-04T09:49:00.000Z",7561.6,1890.4,NULL,26.96,27.2,NULL,"L",27.2,0.0,"{""3-bars"": -0.001, ""5-bars"": 0.002, ""7-bars"": 0.007}","2021-01-04T09:52:00.000Z","2022-09-23 17:47:47.848309"
7,"BUY","BNTX","HUMMER",82.71,82.32,83.1,50.0,128,"2021-01-04","09:49:00",62.35179,NULL,"2021-01-04T09:50:00.000Z",10586.88,2646.72,NULL,82.31,86.79,NULL,"L",82.71,0.0,"{""3-bars"": -0.001, ""5-bars"": -0.003, ""7-bars"": 0.004}","2021-01-04T09:51:00.000Z","2022-09-23 17:47:47.852299"
8,"BUY","BNTX","OKAR/B",83.07,82.21,83.93,50.0,58,"2021-01-04","09:52:00",62.35179,NULL,"2021-01-04T09:55:00.000Z",4818.06,1204.515,NULL,82.53,86.79,NULL,"P",83.07,0.0,"{""3-bars"": 0.004, ""5-bars"": 0.006, ""7-bars"": 0.002}","2021-01-04T10:02:00.000Z","2022-09-23 17:47:47.865264"
9,"BUY","MARA","OKAR/B",11.38,11.12,11.64,50.0,192,"2021-01-04","09:52:00",67.66169,NULL,"2021-01-04T09:53:00.000Z",2184.96,546.24,NULL,11.05,11.83,NULL,"L",11.38,0.0,"{""3-bars"": 0.001, ""5-bars"": -0.012, ""7-bars"": -0.008}","2021-01-04T10:02:00.000Z","2022-09-23 17:47:47.868256"
10,"BUY","RIOT","HUMMER",18.16,17.86,18.46,50.0,167,"2021-01-04","09:58:00",55.9322,NULL,NULL,3032.72,758.18,NULL,NULL,NULL,NULL,"C",NULL,NULL,"{""3-bars"": -0.003, ""5-bars"": 0.01, ""7-bars"": 0.017}","2021-01-04T10:02:00.000Z","2022-09-23 17:47:47.908656"
11,"BUY","AG","OKAR/B",14.44,14.37,14.51,50.0,714,"2021-01-04","10:00:00",22.85551,NULL,"2021-01-04T10:02:00.000Z",10310.16,2577.54,NULL,14.38,14.52,NULL,"P",14.44,0.0,"{""3-bars"": -0.002, ""5-bars"": 0.0, ""7-bars"": 0.005}","2021-01-04T10:05:00.000Z","2022-09-23 17:47:47.916635"
12,"BUY","PDD","HUMMER",172.99,170.67,175.31,50.0,22,"2021-01-05","09:30:00",19.80519,NULL,"2021-01-05T09:31:00.000Z",3805.78,951.445,NULL,172.76,185.44,NULL,"P",172.99,0.0,"{""3-bars"": 0, ""5-bars"": 0, ""7-bars"": 0}","2021-01-05T09:31:00.000Z","2022-09-23 17:51:39.882645"
13,"SELL","FCEL","SHOOTING-STAR",10.32,10.52,10.12,50.0,250,"2021-01-05","09:31:00",52.48869,NULL,NULL,2580.0,645.0,NULL,NULL,NULL,NULL,"C",NULL,NULL,"{""3-bars"": 0, ""5-bars"": 0, ""7-bars"": 0}","2021-01-05T09:35:00.000Z","2022-09-23 17:51:39.886634"
